id,title,url,category,topics,formats,description,active
24,تهران نما - شهرداری تهران,https://data.tehran.ir/,government,داده‌های شهر تهران,chart,داده‌ها در حوزه‌های مختلف مربوط به شهر تهران,True
25,سامانه شفافیت شهرداری تهران,https://shafaf.tehran.ir/,government,داده‌های شهرداری تهران,"داشبورد, xlsx, pdf",معاملات، برنامه و بودجه، شهرسازی و ...,True
26,پایگاه اطلاعات رفاه ایرانیان,https://refahdb.mcls.gov.ir/fa/downloaddata-%D8%AF%D8%A7%D9%86%D9%84%D9%88%D8%AF%D8%AF%D8%A7%D8%AF%D9%87,government,اقتصادی و اجتماعی,xlsx,نمونه 2 درصدی از اطلاعات موجود در پایگاه ملی اطلاعات رفاه ایرانیان,True
27,سازمان پزشکی قانونی,https://www.lmo.ir/fa/page/105849-%D8%A7%D8%B7%EF%BB%BC%D8%B9%D8%A7%D8%AA-%D8%A2%D9%85%D8%A7%D8%B1%DB%8C.html,government,اجتماعی,pdf,آمار فوتی‌های ناشی  رانندگی، نزاع، ، سوختگی، غرق‌شدگی و ...,True
28,سازمان تأمین اجتماعی,https://www.tamin.ir/News/Item/109681?catid=223,government,بیمه‌ای,"xlsx, pdf",سری زمانی آمارهای حوزه بیمه ای، درمانی و مالی,True
29,مرکز تحقیقات راه، مسکن و شهرسازی,https://www.bhrc.ac.ir/,government,حمل و نقل و زیرساخت,"pdf, xlsx",آمار حمل و نقل جاده‌ای، ریلی، هوایی و دریایی، حوزه مسکن، ساختمان و شهرسازی، ژئونگاری، ذیل وزارت راه و شهرسازی,True
30,مرکز مدیریت راه‌های کشور,https://141.ir/,government,اطلاعات راه‌های کشور و ترددشمارها,,مجموع تردد وسایل نقلیه در راه‌های به‌تفکیک تمام محورهای مواصلاتی، به‌تفکیک نوع وسیله‌ی نقلیه (سواری و وانت، مینی‌بوس، اتوبوس، کامیون)-  تواتر ساعتی با شروع از سال ۱۳۸۹,True
31,وزارت راه و شهرسازی جمهوری اسلامی ایران,https://www.mrud.ir/,government,اقتصادی، زیرساخت، شهرسازی,pdf,مسکن، حمل و نقل‌ها،  شهرسازی  و ...,True
32,شرکت مدیریت شبکه برق ایران (وزارت نیرو),https://www.igmc.ir/statistical-center,government,وضعیت شبکه برق,xlsx,گزارش روزانه نیاز مصرف در پیک شب و روز,True
33,آمار صنعت برق (شرکت مادر تخصصی توانیر),https://amar.tavanir.org.ir/,government,امار صنعت برق,"xlsx, pdf",آمار رسمی، پیک مصرف، شرکت‌های زیرمجموعه و ...,True
